customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,loyalty_points
1,Georgie,Deare,gdeare0@boston.com,181-553-9985,84 Westerfield Road,Joroan,Philippines,6007,28
2,Griffin,Chang,gchang1@techcrunch.com,332-373-9529,99805 Ridge Oak Road,Kaji,China,,570
3,Mariellen,Grubey,mgrubey2@ca.gov,194-934-9562,24 Hoffman Junction,Apeldoorn,Netherlands,7329,349
4,Roda,Jedrzaszkiewicz,rjedrzaszkiewicz3@w3.org,205-419-4970,3564 Eastlawn Lane,Stare Miasto,Poland,62-571,753
5,Alec,Claque,aclaque4@thetimes.co.uk,471-517-9620,6000 Algoma Junction,Guadalupe,Philippines,3510,143
6,Tyrus,Bernardt,tbernardt5@1und1.de,663-902-8051,3 Mendota Crossing,Kraton,Indonesia,,27
7,Zahara,Nerney,znerney6@lycos.com,985-453-1231,81 Northfield Circle,Baruta,Venezuela,,746
8,Obediah,Robottom,orobottom7@boston.com,999-675-4527,3 Coleman Plaza,Dolní Počernice,Czech Republic,190 12,10
9,Marmaduke,Coules,mcoules8@paypal.com,258-195-1366,06 Bartelt Center,Paris 09,France,75439 CEDEX 09,163
10,Kellen,Zanicchi,kzanicchi9@nifty.com,237-896-2468,88 Green Ridge Lane,Anfeng,China,,182
11,Kara,Ragate,kragatea@facebook.com,690-709-7714,841 Old Shore Junction,Betio Village,Kiribati,,977
12,Mariya,Balthasar,mbalthasarb@arstechnica.com,403-239-3397,061 Lotheville Park,Kikinda,Serbia,,176
13,Aldridge,Frankis,afrankisc@imdb.com,515-586-4956,48 Waywood Parkway,Duyên Hải,Vietnam,,982
14,Curcio,McMurdo,cmcmurdod@barnesandnoble.com,578-463-0465,2748 5th Drive,Zengtian,China,,63
15,Natividad,Ghirigori,nghirigorie@google.com.hk,479-974-9577,73 Chinook Lane,Jatiprahu,Indonesia,,441
16,Dore,Hanalan,dhanalanf@adobe.com,937-741-6751,429 Butterfield Trail,Kigali,Rwanda,,997
17,Didi,Yushmanov,dyushmanovg@mapy.cz,893-335-7146,10003 Monterey Drive,Chenggang,China,,0
18,Lanie,Corselles,lcorsellesh@toplist.cz,412-892-3430,09 Marquette Way,Koniaków,Poland,43-474,80
19,Keely,Eck,kecki@cmu.edu,499-895-2948,391 Messerschmidt Trail,Żyraków,Poland,39-204,197
20,Bryon,Kenningham,bkenninghamj@wisc.edu,274-295-0764,94379 Briar Crest Street,Novyy Oskol,Russia,309642,58
21,Mahmud,Pond-Jones,mpondjonesk@1688.com,173-404-2892,28 Debs Plaza,Pereira,Portugal,4650-752,80
22,Amby,Thon,athonl@springer.com,981-873-3117,93 Leroy Terrace,Minh Long,Vietnam,,880
23,Marisa,Sullivan,msullivanm@forbes.com,759-476-3023,39172 Schlimgen Junction,Patria,Philippines,2005,454
24,Raimondo,Blundel,rblundeln@meetup.com,918-608-5624,47574 School Point,Vespasiano,Brazil,33200-000,807
25,Abigael,Caudle,acaudleo@github.io,169-273-9168,7557 Orin Circle,Lyon,France,69303 CEDEX 07,699
26,Mehetabel,McNirlin,mmcnirlinp@ucoz.com,970-441-6996,4 Kim Place,Mölndal,Sweden,431 10,531
27,Rayna,McIlraith,rmcilraithq@163.com,476-374-6549,16 Mayer Circle,Capela,Brazil,49700-000,669
28,Nisse,Revening,nreveningr@miitbeian.gov.cn,693-663-7863,1473 Orin Point,Guji,China,,179
29,Buckie,Sire,bsires@salon.com,642-233-9640,31 Hagan Plaza,Daminggong,China,,743
30,Shauna,Sjollema,ssjollemat@house.gov,875-504-4341,1 Lakewood Gardens Place,Quetta,Pakistan,87301,148
31,Myriam,Stang-Gjertsen,mstanggjertsenu@globo.com,311-571-4669,30 Butternut Pass,Lawdar,Yemen,,681
32,Brodie,Meckiff,bmeckiffv@miitbeian.gov.cn,881-302-3617,3493 Fordem Court,Jianshan,China,,354
33,Rossy,Edmondson,redmondsonw@apache.org,685-145-8530,7 Oriole Road,Lac-Brome,Canada,L9G,829
34,Ebonee,McKoy,emckoyx@china.com.cn,745-388-6368,87 Haas Way,Jatisari,Indonesia,,723
35,Ada,Ostler,aostlery@blogs.com,341-222-0151,51 Barby Parkway,Muladbucad,Philippines,1095,332
