order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
1,361,556,66,722.12,2543.98,2021-12-23,4 Norway Maple Road,PayPal,shipped
2,80,254,58,556.2,1639.36,2020-07-06,152 Prairieview Plaza,Apple Pay,pending
3,250,218,68,658.62,383.49,2020-01-12,264 Summerview Plaza,credit card,delivered
4,195,31,3,599.8,1970.01,2020-02-27,9 Di Loreto Center,credit card,delivered
5,825,705,76,267.85,7989.47,2021-11-20,642 Delaware Junction,credit card,shipped
6,376,50,72,499.7,3328.84,2020-04-23,34 Monument Terrace,PayPal,shipped
7,712,319,63,658.28,4082.85,2020-08-31,55 Ilene Way,PayPal,pending
8,24,511,74,73.01,4420.42,2021-12-10,226 Summit Court,PayPal,shipped
9,281,172,21,851.34,1564.08,2020-01-30,2818 Fairview Street,Apple Pay,pending
10,957,232,13,341.68,675.93,2021-05-31,95978 Manufacturers Parkway,credit card,pending
11,210,173,21,113.17,8659.51,2022-11-22,2 Corscot Avenue,credit card,processing
12,692,938,45,700.58,7283.39,2021-09-11,81784 Eastwood Terrace,credit card,pending
13,313,692,36,91.52,1924.68,2020-02-06,1 Hallows Terrace,PayPal,delivered
14,755,709,28,892.88,1532.49,2021-08-06,102 Comanche Road,credit card,delivered
15,293,920,22,925.34,2394.82,2021-11-10,91 Summer Ridge Drive,Apple Pay,shipped
16,553,510,33,649.82,8313.31,2021-06-21,3 Corry Way,Apple Pay,pending
17,612,823,41,464.26,4238.88,2020-11-15,453 Banding Terrace,PayPal,shipped
18,713,585,15,945.94,5077.69,2020-05-26,7 Anthes Hill,credit card,shipped
19,247,969,6,344.8,7533.3,2022-07-19,13998 Butterfield Plaza,credit card,delivered
20,568,470,4,523.61,3595.9,2020-01-28,1 Meadow Valley Road,credit card,pending
21,292,919,25,370.87,9641.25,2022-01-03,64059 Randy Road,Apple Pay,pending
22,94,720,59,640.22,4098.05,2021-01-06,5 Roxbury Junction,credit card,processing
23,810,681,60,226.14,8150.01,2021-12-25,8838 Lakeland Way,credit card,processing
24,89,230,41,753.94,8172.87,2021-06-20,53338 Ronald Regan Trail,credit card,delivered
25,931,99,94,53.5,2241.77,2021-07-04,282 Carioca Court,Apple Pay,shipped
26,720,633,30,488.41,3292.57,2021-01-18,0 Starling Court,credit card,delivered
27,302,501,15,470.95,6601.54,2022-08-29,0 Lukken Street,Apple Pay,pending
28,935,439,21,364.52,1452.9,2021-10-31,60725 Straubel Lane,PayPal,pending
29,834,335,42,654.51,831.48,2020-09-26,10345 Gina Parkway,PayPal,processing
30,428,933,93,242.9,9083.17,2021-06-04,536 Goodland Pass,Apple Pay,processing
31,790,889,23,164.68,854.14,2021-07-12,992 High Crossing Point,credit card,delivered
32,732,305,8,897.84,3917.91,2021-10-24,51565 Starling Place,credit card,delivered
33,932,100,69,920.87,2928.27,2020-04-08,5 Merry Lane,Apple Pay,processing
34,470,526,46,626.61,9937.62,2022-05-02,23831 Clemons Court,PayPal,delivered
35,207,801,55,997.71,829.97,2022-03-09,56816 Sherman Junction,PayPal,shipped
36,370,669,58,846.89,7599.23,2022-07-29,5 Village Green Street,Apple Pay,shipped
37,116,514,72,84.34,5202.53,2021-09-07,2 Sheridan Crossing,credit card,pending
38,693,381,8,696.04,9653.79,2022-10-19,08 Oriole Park,credit card,pending
39,405,456,15,333.63,6881.49,2022-08-16,9657 Parkside Center,Apple Pay,pending
40,852,971,59,608.74,7855.82,2020-01-20,1009 Browning Way,Apple Pay,pending
41,306,410,54,666.28,7926.41,2021-05-13,399 Buena Vista Park,PayPal,shipped
42,519,463,29,535.12,9593.93,2020-09-12,1499 Surrey Parkway,Apple Pay,processing
43,282,63,68,137.7,7837.29,2020-01-17,9 Debra Pass,PayPal,delivered
44,261,417,34,335.72,3435.62,2022-07-11,52 Talmadge Street,Apple Pay,processing
45,133,909,87,621.21,4942.11,2021-11-03,3760 Pleasure Way,Apple Pay,shipped
46,399,112,23,662.94,3520.37,2021-10-20,0 La Follette Point,credit card,delivered
47,437,685,78,388.78,5760.41,2022-02-28,34 Gateway Alley,Apple Pay,processing
48,241,858,70,568.6,2999.19,2021-11-21,8772 Declaration Crossing,Apple Pay,delivered
49,270,702,18,869.72,2318.76,2022-10-06,06 1st Center,PayPal,processing
50,127,846,28,900.92,2802.72,2020-04-14,1886 Linden Center,Apple Pay,pending
51,572,683,61,71.7,4285.03,2020-05-12,01 Clarendon Plaza,Apple Pay,processing
52,982,788,98,91.15,867.52,2020-09-07,00006 Troy Avenue,PayPal,pending
53,725,987,92,472.68,5763.12,2020-03-13,2399 Macpherson Park,credit card,pending
54,68,153,56,152.71,2886.57,2022-05-24,4 Alpine Hill,credit card,pending
55,147,65,90,733.06,4787.46,2022-07-14,5535 Steensland Center,credit card,delivered
56,243,93,29,39.55,9690.95,2022-10-03,810 Dovetail Parkway,PayPal,processing
57,63,877,9,519.98,9060.41,2021-07-02,95031 Gerald Avenue,credit card,delivered
58,980,602,45,119.96,5469.2,2021-05-14,865 2nd Point,Apple Pay,processing
59,956,688,34,757.21,9906.15,2020-07-19,9280 Gulseth Court,credit card,delivered
60,768,29,94,886.45,4782.27,2020-09-18,32 Elmside Road,PayPal,pending
61,968,425,43,498.69,328.54,2020-08-31,61186 Granby Trail,credit card,delivered
62,345,396,2,867.39,9264.76,2021-03-28,0938 Cottonwood Terrace,Apple Pay,processing
63,438,821,28,511.05,2086.38,2022-08-16,70491 Laurel Terrace,Apple Pay,pending
64,483,394,71,929.08,964.94,2021-12-10,4 Westerfield Junction,credit card,delivered
65,838,473,15,306.81,9190.59,2020-09-04,50685 Trailsway Parkway,credit card,delivered
66,299,772,73,479.31,7076.3,2020-11-21,7 Acker Terrace,credit card,delivered
67,601,249,86,471.35,8864.43,2021-01-21,6 Haas Hill,credit card,processing
68,462,273,67,95.1,2518.47,2021-12-01,133 Arizona Park,Apple Pay,pending
69,233,559,73,281.06,8701.75,2022-04-27,940 Kennedy Avenue,credit card,shipped
70,387,9,11,7.16,9086.38,2020-07-10,3262 Eastlawn Circle,credit card,shipped
71,430,710,10,825.01,7301.85,2022-03-31,23940 Warbler Road,Apple Pay,processing
72,640,606,61,481.15,9076.1,2022-03-15,5240 Evergreen Lane,credit card,pending
73,848,87,72,97.63,5533.85,2021-05-03,23388 Hauk Trail,PayPal,processing
74,786,307,96,136.88,479.16,2022-09-06,3213 5th Drive,credit card,shipped
75,318,545,55,761.27,8340.64,2021-05-05,04407 Mockingbird Way,credit card,pending
76,933,963,86,205.07,5652.17,2022-07-19,58 Lakeland Center,PayPal,delivered
77,504,271,32,112.79,2694.33,2020-07-17,237 Westridge Crossing,credit card,delivered
78,44,311,9,895.62,2156.21,2020-04-04,5889 Continental Circle,credit card,delivered
79,111,916,52,497.47,2585.21,2021-09-10,95801 Fremont Crossing,PayPal,delivered
80,900,943,41,994.39,273.47,2022-06-09,13095 Meadow Valley Trail,credit card,delivered
81,627,485,2,645.65,7338.42,2022-02-15,0334 Jenna Center,credit card,pending
82,334,166,55,144.37,6007.3,2020-05-12,457 Beilfuss Center,Apple Pay,delivered
83,987,972,36,587.58,7898.9,2021-09-14,3 Village Alley,Apple Pay,processing
84,897,185,97,666.75,120.41,2020-12-08,4 Lakewood Gardens Junction,credit card,shipped
85,97,781,99,296.6,1015.03,2021-06-03,1853 Pond Street,Apple Pay,processing
86,425,505,8,380.84,861.06,2020-11-17,0 8th Plaza,PayPal,shipped
87,215,663,16,240.76,7433.57,2022-11-13,73088 Victoria Drive,credit card,pending
88,772,945,29,661.95,2516.65,2022-06-15,7 Acker Trail,Apple Pay,pending
89,972,723,29,254.54,1931.7,2021-06-13,4 Acker Circle,credit card,pending
90,611,504,85,681.69,1223.57,2021-01-23,8075 Northland Drive,Apple Pay,delivered
91,381,696,31,709.27,4134.32,2022-12-09,15 Lake View Junction,Apple Pay,processing
92,969,378,13,408.16,8985.34,2021-02-08,24 Sauthoff Lane,PayPal,delivered
93,322,586,5,221.91,6588.99,2021-12-21,54 Mitchell Road,PayPal,delivered
94,39,518,95,480.76,2097.54,2021-09-05,70733 Union Alley,credit card,delivered
95,123,703,36,120.31,4991.79,2022-02-28,89221 Mariners Cove Point,PayPal,processing
96,185,73,20,621.29,9319.58,2021-07-10,425 Schmedeman Drive,Apple Pay,pending
97,310,576,38,782.2,3394.15,2022-08-16,125 Maryland Circle,Apple Pay,delivered
98,372,490,45,620.7,1180.99,2022-08-20,45553 Westend Parkway,credit card,delivered
99,55,865,65,827.21,2741.85,2021-08-31,7 Gateway Alley,Apple Pay,shipped
100,191,392,74,492.45,9434.26,2020-07-09,98 Sutherland Place,PayPal,shipped
101,718,327,96,687.44,3322.2,2021-07-23,574 Toban Trail,Apple Pay,processing
102,150,198,31,687.58,1032.99,2022-11-12,28114 Fair Oaks Junction,PayPal,processing
103,386,312,77,927.99,9523.65,2020-01-19,165 Schmedeman Avenue,Apple Pay,processing
104,636,433,14,608.39,6362.8,2022-06-04,33 Little Fleur Way,credit card,shipped
105,218,994,11,812.83,5432.96,2020-10-30,26 Nova Crossing,credit card,delivered
106,808,285,96,728.12,7153.85,2022-04-05,24 Green Ridge Court,PayPal,delivered
107,156,177,1,766.07,9112.46,2021-01-21,70 Del Sol Terrace,credit card,shipped
108,853,718,27,111.08,5485.41,2022-10-14,989 Marcy Road,Apple Pay,delivered
109,468,290,69,378.22,6015.8,2020-04-04,97 Randy Parkway,Apple Pay,processing
110,232,136,98,632.71,3570.9,2021-09-20,2956 Loeprich Drive,PayPal,delivered
111,561,197,62,127.54,9735.86,2020-10-25,44 Dwight Terrace,Apple Pay,pending
112,142,379,46,110.26,2254.55,2020-08-28,11 Express Trail,PayPal,pending
113,183,811,41,664.77,1813.81,2021-10-07,94932 Gulseth Crossing,PayPal,shipped
114,858,451,20,227.1,3471.49,2022-06-24,33241 Acker Road,credit card,shipped
115,186,239,53,888.95,9802.72,2021-03-26,0 Pierstorff Terrace,Apple Pay,delivered
116,594,658,56,715.7,9809.69,2021-07-30,98 Schlimgen Junction,Apple Pay,delivered
117,304,908,71,615.71,8153.51,2022-07-23,43908 Lake View Terrace,PayPal,processing
118,71,601,15,308.62,9476.98,2021-09-03,0 Oxford Trail,credit card,delivered
119,774,275,15,523.51,9275.39,2021-08-05,8436 Canary Alley,credit card,pending
120,245,261,53,955.22,3641.7,2020-05-13,8 Golf Course Center,credit card,pending
121,788,428,45,269.66,2742.78,2021-03-19,41771 Clyde Gallagher Drive,Apple Pay,pending
122,728,251,26,111.67,1843.06,2021-01-20,92 Independence Park,Apple Pay,processing
123,83,199,5,56.22,2822.81,2020-02-06,7759 Doe Crossing Court,PayPal,delivered
124,417,800,20,278.78,7792.46,2021-08-26,14451 Heffernan Plaza,credit card,pending
125,70,4,80,510.99,2353.69,2022-04-30,0593 Boyd Place,credit card,pending
126,689,358,73,237.54,7546.59,2022-11-01,710 Lillian Avenue,credit card,pending
127,557,5,96,48.93,7485.83,2020-01-03,9934 Luster Point,credit card,shipped
128,175,315,59,43.57,8106.58,2022-10-17,87514 Sunfield Point,credit card,processing
129,889,813,77,870.58,2540.17,2020-03-01,78 Clove Court,PayPal,delivered
130,61,298,2,408.12,9533.76,2020-03-12,2 Raven Road,credit card,delivered
131,669,936,6,523.43,8708.58,2021-12-26,63 Oriole Crossing,credit card,pending
132,532,95,88,785.31,7389.4,2022-11-10,07947 Dakota Circle,PayPal,shipped
133,778,207,68,406.02,7506.65,2022-05-22,7088 Orin Alley,credit card,shipped
134,910,147,4,501.86,3560.49,2021-02-17,531 Lerdahl Circle,Apple Pay,pending
135,371,255,2,245.64,9490.41,2021-04-10,24552 Duke Crossing,Apple Pay,pending
136,589,841,44,767.72,1036.05,2022-04-23,1 Bobwhite Park,Apple Pay,shipped
137,378,111,80,659.31,3409.93,2021-07-13,7 Hagan Avenue,PayPal,delivered
138,202,103,6,208.45,9578.95,2022-10-08,765 Golf View Pass,PayPal,delivered
139,985,785,69,115.38,2404.29,2022-02-23,00788 Independence Lane,PayPal,shipped
140,563,258,73,372.72,7213.31,2021-01-03,34 Eliot Alley,credit card,processing
141,192,472,41,144.73,9699.39,2021-04-05,377 Sachtjen Plaza,Apple Pay,shipped
142,646,175,61,651.48,6906.69,2022-12-30,43 Anderson Trail,credit card,processing
143,88,203,10,387.04,4913.39,2020-07-27,73 Shoshone Street,credit card,shipped
144,410,384,32,655.7,7821.04,2022-12-02,7527 Anthes Center,credit card,delivered
145,257,441,75,238.24,888.72,2022-04-05,8133 Sachs Terrace,credit card,delivered
146,881,22,87,681.76,4112.34,2021-08-02,3 Hoepker Drive,Apple Pay,processing
147,305,304,11,331.02,7417.93,2021-08-29,789 Kings Way,PayPal,delivered
148,567,1000,27,227.97,66.87,2021-11-03,8779 Crownhardt Drive,credit card,processing
149,392,390,46,826.98,6842.98,2020-12-19,07 Fisk Crossing,PayPal,shipped
150,586,868,70,916.23,3392.04,2020-08-12,028 Manley Place,PayPal,pending
151,940,656,63,294.6,9712.39,2021-12-04,47 Colorado Crossing,PayPal,processing
152,309,416,58,516.58,9417.95,2021-08-03,4577 Hintze Point,credit card,delivered
153,925,96,52,464.88,8838.9,2020-04-08,0464 Evergreen Lane,Apple Pay,pending
154,626,738,57,727.37,1342.05,2021-03-14,056 Kings Lane,Apple Pay,processing
155,164,388,79,476.86,6538.69,2021-07-25,3 Hanover Junction,PayPal,processing
156,592,546,70,470.7,1505.14,2020-01-10,862 Russell Court,credit card,shipped
157,143,573,17,317.07,4881.03,2022-05-19,3428 Forest Dale Terrace,credit card,shipped
158,153,646,57,168.49,2398.92,2020-10-05,324 Grover Plaza,credit card,delivered
159,459,110,67,657.71,989.0,2021-05-06,8 Daystar Way,PayPal,delivered
160,934,970,75,10.75,7956.98,2022-05-29,7 Ohio Terrace,PayPal,shipped
161,610,487,23,98.06,3850.21,2020-07-22,43926 Buhler Trail,credit card,delivered
162,38,593,44,621.18,1058.6,2021-08-25,2313 Dakota Lane,Apple Pay,processing
163,204,635,72,570.79,6174.01,2021-05-26,7280 Ramsey Way,Apple Pay,delivered
164,639,831,91,428.08,3720.5,2022-05-02,985 American Plaza,Apple Pay,processing
165,522,676,9,8.9,1184.17,2021-02-01,0 Commercial Street,Apple Pay,shipped
166,332,85,45,159.21,7646.78,2022-03-14,94391 Esker Pass,Apple Pay,processing
167,941,731,99,489.03,3541.96,2020-09-12,1012 Browning Hill,credit card,delivered
168,62,745,61,669.31,5377.54,2020-12-22,636 Acker Crossing,Apple Pay,processing
169,966,860,18,512.96,4303.26,2020-02-15,0 Farmco Road,Apple Pay,delivered
170,851,479,67,588.08,6242.1,2022-05-30,6 Erie Drive,credit card,shipped
171,51,672,15,296.75,5868.01,2021-08-20,66665 Nelson Plaza,PayPal,shipped
172,745,527,12,138.61,2555.82,2020-06-11,6 Westridge Center,Apple Pay,shipped
173,739,733,65,36.84,3995.13,2022-06-18,44 Anhalt Plaza,PayPal,processing
174,384,717,98,428.42,1302.06,2021-12-11,968 Ronald Regan Way,PayPal,delivered
175,716,520,98,784.84,180.02,2022-10-04,5511 Crownhardt Park,Apple Pay,shipped
176,137,11,59,418.03,4829.77,2022-12-13,6 Garrison Alley,credit card,processing
177,574,455,81,535.87,9942.76,2020-12-09,46342 Porter Street,credit card,delivered
178,78,462,26,675.3,5088.8,2020-06-01,8 Maple Wood Place,credit card,pending
179,870,142,51,195.94,2713.01,2020-09-09,40 Kim Point,credit card,processing
180,433,422,37,678.58,7549.21,2020-01-23,211 Forest Alley,Apple Pay,pending
181,60,665,9,3.67,699.11,2021-05-14,1048 Corry Avenue,PayPal,processing
182,548,339,62,828.16,8312.77,2022-03-10,09417 Valley Edge Crossing,Apple Pay,shipped
183,246,668,91,192.23,8723.8,2021-07-23,97 Comanche Drive,credit card,delivered
184,855,777,75,451.8,867.42,2020-05-08,9755 Meadow Vale Circle,Apple Pay,delivered
185,998,897,96,635.21,3185.06,2021-07-19,49199 Cottonwood Park,PayPal,processing
186,301,638,56,932.42,5581.23,2022-02-06,19 Boyd Point,credit card,processing
187,103,292,11,865.01,6349.85,2020-12-04,75113 Service Drive,PayPal,pending
188,366,572,37,359.46,4943.32,2020-09-02,6893 Petterle Place,Apple Pay,pending
189,65,966,62,360.46,6388.97,2022-10-21,2091 Holmberg Street,Apple Pay,delivered
190,503,83,66,385.88,3937.63,2020-10-28,8808 Main Road,credit card,shipped
191,714,272,22,197.24,571.1,2020-10-07,5 Messerschmidt Parkway,credit card,shipped
192,27,706,88,766.7,8603.58,2020-03-31,00 Carberry Court,credit card,pending
193,515,796,31,597.17,693.89,2022-04-03,28 Oriole Parkway,PayPal,pending
194,763,887,29,191.33,5236.13,2020-05-27,292 Oak Valley Circle,Apple Pay,pending
195,665,129,9,783.75,1260.08,2020-07-03,91884 Shoshone Center,PayPal,pending
196,731,843,53,838.53,8831.57,2021-11-23,6908 Butternut Park,credit card,delivered
197,829,90,43,108.33,1292.44,2021-04-22,252 Vahlen Avenue,credit card,pending
198,878,69,84,814.35,2676.91,2021-11-25,8 Glendale Junction,PayPal,processing
199,779,295,63,577.51,4648.48,2022-04-18,87278 Del Sol Parkway,PayPal,shipped
200,634,421,45,304.72,3100.29,2021-09-27,4184 Daystar Road,credit card,processing
201,225,52,70,423.3,7213.69,2020-04-09,39 Emmet Point,Apple Pay,pending
202,681,750,22,429.55,7012.68,2022-06-28,90 Arkansas Lane,credit card,pending
203,915,993,39,868.4,2497.71,2020-09-19,62 Union Point,Apple Pay,shipped
204,21,380,19,314.05,2215.42,2022-01-24,854 Bunker Hill Street,PayPal,pending
205,128,803,64,324.56,383.27,2021-01-24,0 Linden Avenue,credit card,processing
206,656,749,70,513.73,5994.62,2021-05-03,46 Lindbergh Avenue,credit card,pending
207,389,98,72,122.48,9576.68,2022-01-08,97 Johnson Junction,PayPal,delivered
208,761,53,41,60.5,490.81,2022-11-12,1 Victoria Crossing,PayPal,processing
209,303,303,14,809.45,6521.97,2021-09-16,5555 Haas Hill,Apple Pay,shipped
210,432,757,7,164.39,4116.96,2020-04-18,996 Mallory Point,PayPal,delivered
211,57,590,81,110.48,9071.95,2021-10-31,90245 Linden Park,credit card,shipped
212,630,982,30,182.53,953.49,2020-12-04,42 Menomonie Street,credit card,delivered
213,42,188,39,274.96,1653.32,2022-03-29,0 Harper Junction,credit card,processing
214,53,448,36,939.04,9634.87,2022-09-28,9 Florence Lane,PayPal,pending
215,542,508,30,427.63,5513.46,2022-06-30,918 Lakeland Circle,credit card,delivered
216,69,988,4,531.99,7102.0,2020-12-20,1005 Milwaukee Hill,credit card,shipped
217,903,248,80,488.04,5449.67,2022-10-14,39330 Bay Road,Apple Pay,pending
218,228,385,75,22.58,1512.3,2021-01-17,371 Gateway Center,PayPal,shipped
219,92,32,44,120.3,8945.22,2020-09-28,30 Shelley Junction,Apple Pay,delivered
220,315,698,70,499.71,2989.34,2022-03-16,0963 Saint Paul Park,Apple Pay,processing
221,885,145,99,700.92,2466.31,2020-04-29,9569 International Parkway,PayPal,pending
222,414,6,18,12.76,1208.99,2020-05-09,56237 Crownhardt Plaza,credit card,processing
223,234,19,55,556.8,79.17,2020-07-05,2 Holmberg Crossing,credit card,pending
224,921,382,36,720.03,3100.04,2021-12-26,9 Dahle Hill,PayPal,processing
225,48,262,50,626.93,5798.7,2020-09-24,9544 Mayer Road,Apple Pay,processing
226,359,842,47,359.86,9574.47,2021-03-12,72 Rieder Road,PayPal,pending
227,219,302,80,540.19,6452.06,2021-05-24,040 Continental Park,PayPal,processing
228,273,587,14,785.22,8225.03,2022-03-17,2 Vidon Terrace,Apple Pay,pending
229,423,824,84,469.82,6142.36,2022-04-17,45 Lakewood Parkway,Apple Pay,processing
